date,y_items
2021-11-01,1
2021-11-01,2
2021-11-01,3
2021-12-01,1
2021-12-01,2
2021-12-01,3
2021-12-01,4
2021-12-01,5
2022-01-01,1
2022-01-01,2
2022-01-01,3
2022-01-01,4
2022-01-01,8
2022-01-01,13
2022-02-01,1
2022-02-01,2
2022-02-01,3
2022-02-01,6
2022-02-01,7
2022-02-01,10
2022-02-01,13
2022-02-01,14
2022-03-01,1
2022-03-01,2
2022-03-01,3
2022-03-01,4
2022-03-01,6
2022-03-01,7
2022-03-01,8
2022-03-01,9
2022-03-01,16
2022-04-01,1
2022-04-01,2
2022-04-01,3
2022-04-01,4
2022-04-01,5
2022-04-01,6
2022-04-01,7
2022-04-01,9
2022-04-01,19
2022-04-01,30
2022-05-01,1
2022-05-01,2
2022-05-01,3
2022-05-01,4
2022-05-01,5
2022-05-01,6
2022-05-01,10
2022-05-01,11
2022-05-01,13
2022-05-01,19
2022-05-01,45
2022-06-01,1
2022-06-01,2
2022-06-01,3
2022-06-01,4
2022-06-01,5
2022-06-01,6
2022-06-01,7
2022-06-01,8
2022-06-01,11
2022-06-01,14
2022-06-01,20
2022-06-01,32
2022-06-01,33
2022-07-01,1
2022-07-01,2
2022-07-01,3
2022-07-01,4
2022-07-01,5
2022-07-01,6
2022-07-01,7
2022-07-01,8
2022-07-01,10
2022-07-01,12
2022-07-01,20
2022-07-01,29
2022-08-01,1
2022-08-01,2
2022-08-01,3
2022-08-01,4
2022-08-01,5
2022-08-01,6
2022-08-01,7
2022-08-01,8
2022-08-01,11
2022-08-01,13
2022-08-01,14
2022-08-01,15
2022-08-01,19
2022-08-01,39
2022-08-01,46
2022-09-01,1
2022-09-01,2
2022-09-01,3
2022-09-01,4
2022-09-01,5
2022-09-01,6
2022-09-01,7
2022-09-01,8
2022-09-01,10
2022-09-01,11
2022-09-01,12
2022-09-01,13
2022-09-01,17
2022-09-01,26
2022-09-01,38
2022-10-01,1
2022-10-01,2
2022-10-01,3
2022-10-01,4
2022-10-01,5
2022-10-01,6
2022-10-01,7
2022-10-01,8
2022-10-01,10
2022-10-01,11
2022-10-01,13
2022-10-01,14
2022-10-01,19
2022-10-01,20
2022-10-01,25
2022-10-01,39
2022-10-01,44
2022-11-01,1
2022-11-01,2
2022-11-01,3
2022-11-01,4
2022-11-01,5
2022-11-01,6
2022-11-01,7
2022-11-01,8
2022-11-01,9
2022-11-01,10
2022-11-01,11
2022-11-01,12
2022-11-01,13
2022-11-01,14
2022-11-01,15
2022-11-01,18
2022-11-01,21
2022-11-01,38
2022-11-01,43
2022-11-01,55
2022-12-01,1
2022-12-01,2
2022-12-01,3
2022-12-01,4
2022-12-01,5
2022-12-01,7
2022-12-01,8
2022-12-01,9
2022-12-01,10
2022-12-01,11
2022-12-01,14
2022-12-01,15
2022-12-01,17
2022-12-01,19
2022-12-01,25
2022-12-01,40
2022-12-01,54
2023-01-01,1
2023-01-01,2
2023-01-01,3
2023-01-01,4
2023-01-01,5
2023-01-01,6
2023-01-01,7
2023-01-01,8
2023-01-01,9
2023-01-01,10
2023-01-01,11
2023-01-01,12
2023-01-01,14
2023-01-01,15
2023-01-01,16
2023-01-01,17
2023-01-01,22
2023-01-01,28
2023-01-01,42
2023-01-01,50
2023-01-01,63
2023-02-01,1
2023-02-01,2
2023-02-01,3
2023-02-01,4
2023-02-01,5
2023-02-01,6
2023-02-01,7
2023-02-01,8
2023-02-01,9
2023-02-01,10
2023-02-01,11
2023-02-01,12
2023-02-01,13
2023-02-01,15
2023-02-01,16
2023-02-01,17
2023-02-01,18
2023-02-01,20
2023-02-01,24
2023-02-01,29
2023-02-01,39
2023-02-01,45
2023-02-01,56
2023-03-01,1
