date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2019-02-01,00L,"NHS NORTHUMBERLAND",0,0,0,0
2019-02-01,00N,"NHS SOUTH TYNESIDE",0,0,0,0
2019-02-01,00P,"NHS SUNDERLAND",0,0,0,0
2019-02-01,00Q,"NHS BLACKBURN WITH DARWEN",0,0,0,0
2019-02-01,00R,"NHS BLACKPOOL",0,0,0,0
2019-02-01,00T,"NHS BOLTON",0,0,0,0
2019-02-01,00V,"NHS BURY",0,0,0,0
2019-02-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",0,0,0,0
2019-02-01,00Y,"NHS OLDHAM",0,0,0,0
2019-02-01,01A,"NHS EAST LANCASHIRE",0,0,0,0
2019-02-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",0,0,0,0
2019-02-01,01E,"NHS GREATER PRESTON",0,0,0,0
2019-02-01,01F,"NHS HALTON",0,0,0,0
2019-02-01,01G,"NHS SALFORD",0,0,0,0
2019-02-01,01H,"NHS NORTH CUMBRIA",0,0,0,0
2019-02-01,01J,"NHS KNOWSLEY",0,0,0,0
2019-02-01,01K,"NHS MORECAMBE BAY",0,0,0,0
2019-02-01,01T,"NHS SOUTH SEFTON",0,0,0,0
2019-02-01,01V,"NHS SOUTHPORT AND FORMBY",0,0,0,0
2019-02-01,01W,"NHS STOCKPORT",0,0,0,0
2019-02-01,01X,"NHS ST HELENS",0,0,0,0
2019-02-01,01Y,"NHS TAMESIDE AND GLOSSOP",0,0,0,0
2019-02-01,02A,"NHS TRAFFORD",0,0,0,0
2019-02-01,02E,"NHS WARRINGTON",0,0,0,0
2019-02-01,02G,"NHS WEST LANCASHIRE",0,0,0,0
2019-02-01,02H,"NHS WIGAN BOROUGH",0,0,0,0
2019-02-01,02M,"NHS FYLDE AND WYRE",0,0,0,0
2019-02-01,02P,"NHS BARNSLEY",0,0,0,0
2019-02-01,02Q,"NHS BASSETLAW",0,0,0,0
2019-02-01,02T,"NHS CALDERDALE",0,0,0,0
2019-02-01,02X,"NHS DONCASTER",0,0,0,0
2019-02-01,02Y,"NHS EAST RIDING OF YORKSHIRE",0,0,0,0
2019-02-01,03F,"NHS HULL",0,0,0,0
2019-02-01,03H,"NHS NORTH EAST LINCOLNSHIRE",0,0,0,0
2019-02-01,03K,"NHS NORTH LINCOLNSHIRE",0,0,0,0
2019-02-01,03L,"NHS ROTHERHAM",0,0,0,0
2019-02-01,03N,"NHS SHEFFIELD",0,0,0,0
2019-02-01,03Q,"NHS VALE OF YORK",0,0,0,0
2019-02-01,03R,"NHS WAKEFIELD",0,0,0,0
2019-02-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",0,0,0,0
2019-02-01,04C,"NHS LEICESTER CITY",0,0,0,0
2019-02-01,04V,"NHS WEST LEICESTERSHIRE",0,0,0,0
2019-02-01,04Y,"NHS CANNOCK CHASE",0,0,0,0
2019-02-01,05D,"NHS EAST STAFFORDSHIRE",0,0,0,0
2019-02-01,05G,"NHS NORTH STAFFORDSHIRE",0,0,0,0
2019-02-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",0,0,0,0
2019-02-01,05V,"NHS STAFFORD AND SURROUNDS",0,0,0,0
2019-02-01,05W,"NHS STOKE ON TRENT",0,0,0,0
2019-02-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",0,0,0,0
2019-02-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",0,0,0,0
2019-02-01,06L,"NHS IPSWICH AND EAST SUFFOLK",0,0,0,0
2019-02-01,06N,"NHS HERTS VALLEYS",0,0,0,0
2019-02-01,06Q,"NHS MID ESSEX",0,0,0,0
2019-02-01,06T,"NHS NORTH EAST ESSEX",0,0,0,0
2019-02-01,07G,"NHS THURROCK",0,0,0,0
2019-02-01,07H,"NHS WEST ESSEX",0,0,0,0
2019-02-01,07K,"NHS WEST SUFFOLK",0,0,0,0
2019-02-01,09D,"NHS BRIGHTON AND HOVE",0,0,0,0
2019-02-01,09W,"NHS MEDWAY",0,0,0,0
2019-02-01,10Q,"NHS OXFORDSHIRE",0,0,0,0
2019-02-01,10R,"NHS PORTSMOUTH",0,0,0,0
2019-02-01,11J,"NHS DORSET",0,0,0,0
2019-02-01,11M,"NHS GLOUCESTERSHIRE",0,0,0,0
2019-02-01,11N,"NHS KERNOW",0,0,0,0
2019-02-01,11X,"NHS SOMERSET",0,0,0,0
2019-02-01,12F,"NHS WIRRAL",0,0,0,0
2019-02-01,13T,"NHS NEWCASTLE GATESHEAD",0,0,0,0
2019-02-01,14L,"NHS MANCHESTER",0,0,0,0
2019-02-01,14Y,"NHS BUCKINGHAMSHIRE",0,0,0,0
2019-02-01,15A,"NHS BERKSHIRE WEST",0,0,0,0
2019-02-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",0,0,0,0
2019-02-01,15E,"NHS BIRMINGHAM AND SOLIHULL",0,0,0,0
2019-02-01,15F,"NHS LEEDS",0,0,0,0
2019-02-01,15M,"NHS DERBY AND DERBYSHIRE",0,0,0,0
2019-02-01,15N,"NHS DEVON",0,0,0,0
2019-02-01,16C,"NHS TEES VALLEY",0,0,0,0
2019-02-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",0,0,0,0
2019-02-01,26A,"NHS NORFOLK AND WAVENEY",0,0,0,0
2019-02-01,27D,"NHS CHESHIRE",0,0,0,0
2019-02-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",0,0,0,0
2019-02-01,36L,"NHS SOUTH WEST LONDON",0,0,0,0
2019-02-01,42D,"NHS NORTH YORKSHIRE",0,0,0,0
2019-02-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",0,0,0,0
2019-02-01,70F,"NHS WEST SUSSEX",0,0,0,0
2019-02-01,71E,"NHS LINCOLNSHIRE",0,0,0,0
2019-02-01,72Q,"NHS SOUTH EAST LONDON",0,0,0,0
2019-02-01,78H,"NHS NORTHAMPTONSHIRE",0,0,0,0
2019-02-01,84H,"NHS COUNTY DURHAM",0,0,0,0
2019-02-01,91Q,"NHS KENT AND MEDWAY",0,0,0,0
2019-02-01,92A,"NHS SURREY HEARTLANDS",0,0,0,0
2019-02-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",0,0,0,0
2019-02-01,93C,"NHS NORTH CENTRAL LONDON",0,0,0,0
